athlete_id,athlete_name,gender,age,country_code,country,continent,year,city,host_country,season,sport,event,medal
49,Thomas Allen,M,41,CUB,Cuba,North America,1994,Lillehammer,Norway,Winter,Nordic Combined,Nordic Combined Sprint,Gold
50,Thomas Davis,M,24,COL,Colombia,South America,1932,Los Angeles,USA,Summer,Fencing,Foil Team,Silver
51,Claire Harris,F,27,HUN,Hungary,Europe,1904,St. Louis,USA,Summer,Badminton,Singles,Gold
52,Isabella Garcia,F,18,UKR,Ukraine,Europe,1900,Paris,France,Summer,Rowing,Lightweight Double Sculls,Silver
53,Anna Thompson,F,16,AZE,Azerbaijan,Europe,1998,Nagano,Japan,Winter,Curling,Curling Downhill,Gold
54,Chiara Clark,F,27,FRA,France,Europe,1992,Barcelona,Spain,Summer,Shooting,10m Air Rifle,Silver
55,James Young,M,24,RSA,South Africa,Africa,1992,Albertville,France,Winter,Curling,Curling Team,Gold
56,Katarina Rodriguez,F,18,ESP,Spain,Europe,1984,Los Angeles,USA,Summer,Archery,Team Recurve,Bronze
57,Lucia Clark,F,37,ZIM,Zimbabwe,Africa,1956,Cortina,Italy,Winter,Freestyle Skiing,Freestyle Skiing Team,Silver
58,Chiara Thomas,F,37,FRA,France,Europe,2004,Athens,Greece,Summer,Judo,52kg,Bronze
59,Chris White,M,25,CZE,Czech Republic,Europe,1988,Calgary,Canada,Winter,Speed Skating,Speed Skating Downhill,Silver
60,Hans Anderson,M,32,FIN,Finland,Europe,2016,Rio de Janeiro,Brazil,Summer,Taekwondo,57kg,Bronze
61,Isabella Martin,F,18,GRE,Greece,Europe,1912,Stockholm,Sweden,Summer,Judo,52kg,Bronze
62,Steven Wright,M,17,KOR,South Korea,Asia,1956,Melbourne,Australia,Summer,Cycling,Keirin,Bronze
63,Lars Walker,M,38,AUT,Austria,Europe,2024,Paris,France,Summer,Gymnastics,Team,Silver
64,Diego Davis,M,40,POR,Portugal,Europe,1968,Mexico City,Mexico,Summer,Cycling,Sprint,Silver
65,Steven Wilson,M,33,SUI,Switzerland,Europe,1936,Garmisch,Germany,Winter,Ice Hockey,Ice Hockey Giant Slalom,Silver
66,Sofia Mitchell,F,40,COL,Colombia,South America,1924,Chamonix,France,Winter,Ski Jumping,Ski Jumping Slalom,Bronze
67,Hans Hernandez,M,39,FIN,Finland,Europe,1980,Lake Placid,USA,Winter,Luge,Luge Giant Slalom,Silver
68,Yuna Garcia,F,36,MEX,Mexico,North America,2012,London,Great Britain,Summer,Cycling,Team Sprint,Silver
69,David Harris,M,20,JPN,Japan,Asia,1908,London,Great Britain,Summer,Judo,81kg,Silver
70,Emma White,F,29,RUS,Russia,Europe,2004,Athens,Greece,Summer,Wrestling,Freestyle 86kg,Silver
71,Sarah Lewis,F,31,ROM,Romania,Europe,1964,Innsbruck,Austria,Winter,Ski Jumping,Ski Jumping Individual,Silver
72,Steven Garcia,M,31,IRN,Iran,Asia,2012,London,Great Britain,Summer,Basketball,3x3 Basketball,Silver
73,Elena King,F,39,ETH,Ethiopia,Africa,1980,Moscow,Russia,Summer,Athletics,Pole Vault,Gold
74,Darius Young,M,18,NZL,New Zealand,Oceania,1994,Lillehammer,Norway,Winter,Curling,Curling Individual,Gold
75,Nina Walker,F,26,USA,United States,North America,1976,Montreal,Canada,Summer,Boxing,49kg,Silver
76,Chiara Green,F,16,AUS,Australia,Oceania,2012,London,Great Britain,Summer,Football,Football,Gold
77,Michael Martin,M,40,POR,Portugal,Europe,1960,Squaw Valley,USA,Winter,Figure Skating,Figure Skating Team,Gold
78,Sven Wilson,M,31,CUB,Cuba,North America,2022,Beijing,China,Winter,Skiing,Skiing Sprint,Bronze
79,Lauren Carter,F,21,BRA,Brazil,South America,1936,Berlin,Germany,Summer,Tennis,Mixed Doubles,Bronze
80,Michael Robinson,M,34,ZIM,Zimbabwe,Africa,2006,Turin,Italy,Winter,Biathlon,Biathlon Sprint,Bronze
81,Mohammed Martin,M,18,KAZ,Kazakhstan,Asia,2002,Salt Lake City,USA,Winter,Luge,Luge Downhill,Gold
82,Alexei Young,M,27,ITA,Italy,Europe,2004,Athens,Greece,Summer,Judo,+78kg,Bronze
83,Anna Young,F,31,USA,United States,North America,1964,Tokyo,Japan,Summer,Gymnastics,Balance Beam,Silver
84,Chiara Scott,F,21,KOR,South Korea,Asia,1996,Atlanta,USA,Summer,Tennis,Mixed Doubles,Bronze
85,Jessica Garcia,F,39,SUI,Switzerland,Europe,1952,Helsinki,Finland,Summer,Canoe,Canoe Slalom,Silver
86,Isabella King,F,23,KEN,Kenya,Africa,2024,Paris,France,Summer,Cycling,Time Trial,Bronze
87,Carlos Thomas,M,31,UKR,Ukraine,Europe,1994,Lillehammer,Norway,Winter,Freestyle Skiing,Freestyle Skiing Downhill,Silver
88,Ingeborg Garcia,F,35,UKR,Ukraine,Europe,1936,Berlin,Germany,Summer,Volleyball,Beach Volleyball,Bronze
89,Ahmed Lopez,M,39,AUS,Australia,Oceania,1896,Athens,Greece,Summer,Table Tennis,Singles,Bronze
90,Sarah Miller,F,30,POR,Portugal,Europe,2012,London,Great Britain,Summer,Cycling,BMX Racing,Silver
91,Rebecca Scott,F,31,ZIM,Zimbabwe,Africa,1936,Garmisch,Germany,Winter,Luge,Luge Pursuit,Silver
92,Claire Thompson,F,24,POL,Poland,Europe,1972,Munich,Germany,Summer,Archery,Individual Compound,Gold
93,Peter Wright,M,22,ITA,Italy,Europe,1924,Paris,France,Summer,Rowing,Eight,Silver
94,Steven Lee,M,25,FRA,France,Europe,2008,Beijing,China,Summer,Taekwondo,+73kg,Gold
95,Alexei Martinez,M,17,KEN,Kenya,Africa,1956,Melbourne,Australia,Summer,Athletics,4x400m Relay,Bronze
96,Chris Wright,M,34,FRA,France,Europe,1924,Chamonix,France,Winter,Freestyle Skiing,Freestyle Skiing Slalom,Silver
97,Anna Jones,F,31,RUS,Russia,Europe,1972,Sapporo,Japan,Winter,Bobsled,Bobsled Sprint,Silver
98,Mohammed Robinson,M,20,RUS,Russia,Europe,1980,Moscow,Russia,Summer,Gymnastics,Uneven Bars,Gold
99,Ivan Walker,M,40,TUR,Turkey,Asia,1948,London,Great Britain,Summer,Weightlifting,48kg,Silver
100,Marco Davis,M,35,ZIM,Zimbabwe,Africa,1972,Sapporo,Japan,Winter,Speed Skating,Speed Skating Downhill,Gold
101,Steven Thomas,M,21,COL,Colombia,South America,1996,Atlanta,USA,Summer,Rowing,Four,Bronze
102,Emma Harris,F,25,UZB,Uzbekistan,Asia,1908,London,Great Britain,Summer,Boxing,49kg,Silver
103,Darius Nelson,M,24,GER,Germany,Europe,2006,Turin,Italy,Winter,Speed Skating,Speed Skating Slalom,Bronze
104,David Garcia,M,36,ITA,Italy,Europe,2018,PyeongChang,South Korea,Winter,Figure Skating,Figure Skating Downhill,Gold
105,Anna King,F,30,TUR,Turkey,Asia,1908,London,Great Britain,Summer,Swimming,1500m Freestyle,Bronze
106,Lisa Carter,F,30,ARG,Argentina,South America,1956,Melbourne,Australia,Summer,Basketball,3x3 Basketball,Gold
107,Steven Baker,M,18,BRA,Brazil,South America,1972,Munich,Germany,Summer,Fencing,Epee Team,Bronze
108,Svetlana Hernandez,F,32,NED,Netherlands,Europe,1900,Paris,France,Summer,Shooting,10m Air Rifle,Silver
109,Wei Allen,M,31,NGR,Nigeria,Africa,1932,Los Angeles,USA,Summer,Taekwondo,67kg,Silver
110,Ingeborg Lopez,F,29,CAN,Canada,North America,1956,Cortina,Italy,Winter,Freestyle Skiing,Freestyle Skiing Team,Silver
111,Mark Clark,M,26,SUI,Switzerland,Europe,2000,Sydney,Australia,Summer,Basketball,Basketball,Gold
112,Emma Jackson,F,29,USA,United States,North America,2014,Sochi,Russia,Winter,Luge,Luge Giant Slalom,Bronze
113,Emma White,F,40,AUT,Austria,Europe,1964,Tokyo,Japan,Summer,Canoe,Canoe Slalom,Silver
114,Sarah Carter,F,19,UZB,Uzbekistan,Asia,1988,Seoul,South Korea,Summer,Wrestling,Freestyle 97kg,Gold
115,Ahmed Miller,M,33,CZE,Czech Republic,Europe,2006,Turin,Italy,Winter,Ice Hockey,Ice Hockey Mass Start,Gold
116,Lars Martinez,M,31,ITA,Italy,Europe,2022,Beijing,China,Winter,Biathlon,Biathlon Slalom,Bronze
117,Sofia Adams,F,23,IND,India,Asia,2006,Turin,Italy,Winter,Speed Skating,Speed Skating Downhill,Gold
118,Diego Allen,M,24,JPN,Japan,Asia,1964,Innsbruck,Austria,Winter,Figure Skating,Figure Skating Giant Slalom,Silver
119,Claire Nelson,F,39,USA,United States,North America,2016,Rio de Janeiro,Brazil,Summer,Table Tennis,Team,Bronze
120,Nina Adams,F,27,FIN,Finland,Europe,2000,Sydney,Australia,Summer,Badminton,Singles,Bronze
121,Yuki Harris,M,34,HUN,Hungary,Europe,1964,Innsbruck,Austria,Winter,Skeleton,Skeleton Super-G,Silver
122,Katarina Taylor,F,28,IND,India,Asia,1904,St. Louis,USA,Summer,Fencing,Sabre Team,Silver
123,John Scott,M,30,UKR,Ukraine,Europe,1904,St. Louis,USA,Summer,Wrestling,Greco-Roman 87kg,Silver
124,Mark Rodriguez,M,31,KOR,South Korea,Asia,1896,Athens,Greece,Summer,Wrestling,Greco-Roman 60kg,Bronze
125,Svetlana Lopez,F,26,UKR,Ukraine,Europe,2004,Athens,Greece,Summer,Basketball,Basketball,Bronze
126,Chiara Miller,F,23,CUB,Cuba,North America,1904,St. Louis,USA,Summer,Canoe,Canoe Sprint,Silver
127,Carlos Brown,M,17,CHN,China,Asia,1920,Antwerp,Belgium,Summer,Weightlifting,+105kg,Silver
128,Ahmed Baker,M,32,KOR,South Korea,Asia,1960,Squaw Valley,USA,Winter,Bobsled,Bobsled Downhill,Bronze
129,Katarina Martin,F,35,RUS,Russia,Europe,2016,Rio de Janeiro,Brazil,Summer,Boxing,56kg,Silver
130,Katarina Johnson,F,24,BRA,Brazil,South America,1992,Barcelona,Spain,Summer,Wrestling,Freestyle 86kg,Silver
131,Wei Nelson,M,30,CAN,Canada,North America,1952,Oslo,Norway,Winter,Freestyle Skiing,Freestyle Skiing Giant Slalom,Silver
132,Ingrid Wright,F,22,SUI,Switzerland,Europe,1996,Atlanta,USA,Summer,Football,Football,Gold
133,Claire Smith,F,38,ROM,Romania,Europe,1948,London,Great Britain,Summer,Basketball,3x3 Basketball,Bronze
134,Marco Lopez,M,35,ROM,Romania,Europe,1968,Mexico City,Mexico,Summer,Shooting,10m Air Rifle,Silver
135,Svetlana Jackson,F,23,TUR,Turkey,Asia,2014,Sochi,Russia,Winter,Ski Jumping,Ski Jumping Pursuit,Bronze
136,Darius Williams,M,36,AUT,Austria,Europe,1948,St. Moritz,Switzerland,Winter,Freestyle Skiing,Freestyle Skiing Sprint,Silver
137,Maria Miller,F,39,SVK,Slovakia,Europe,2016,Rio de Janeiro,Brazil,Summer,Tennis,Singles,Silver
138,Alexei Lee,M,20,NED,Netherlands,Europe,1956,Cortina,Italy,Winter,Nordic Combined,Nordic Combined Downhill,Bronze
139,Claire Rodriguez,F,41,BRA,Brazil,South America,1980,Lake Placid,USA,Winter,Speed Skating,Speed Skating Sprint,Gold
140,Rebecca Lee,F,41,SWE,Sweden,Europe,1976,Montreal,Canada,Summer,Gymnastics,Rings,Gold
141,Wei Thompson,M,30,BRA,Brazil,South America,2016,Rio de Janeiro,Brazil,Summer,Basketball,Basketball,Bronze
142,Michael Mitchell,M,31,FRA,France,Europe,1964,Innsbruck,Austria,Winter,Cross-Country Skiing,Cross-Country Skiing Super-G,Bronze
143,Pierre Robinson,M,36,POR,Portugal,Europe,1956,Cortina,Italy,Winter,Snowboard,Snowboard Pursuit,Bronze
144,Hans Wilson,M,25,GBR,Great Britain,Europe,1968,Grenoble,France,Winter,Biathlon,Biathlon Sprint,Gold
145,Katarina Green,F,27,RSA,South Africa,Africa,1948,London,Great Britain,Summer,Archery,Team Recurve,Silver
146,Emma Lee,F,24,NGR,Nigeria,Africa,1992,Barcelona,Spain,Summer,Wrestling,Greco-Roman 60kg,Gold
147,Wei Green,M,37,ESP,Spain,Europe,1972,Sapporo,Japan,Winter,Skeleton,Skeleton Pursuit,Bronze
148,Pierre Miller,M,19,KEN,Kenya,Africa,1960,Squaw Valley,USA,Winter,Skiing,Skiing Downhill,Bronze
149,Maria Baker,F,23,RUS,Russia,Europe,1936,Berlin,Germany,Summer,Canoe,Canoe Sprint,Gold
150,Carlos Taylor,M,23,SVK,Slovakia,Europe,1908,London,Great Britain,Summer,Archery,Team Recurve,Bronze
151,Elena Wilson,F,41,JPN,Japan,Asia,1896,Athens,Greece,Summer,Shooting,25m Pistol,Bronze
152,Elena Thompson,F,16,JPN,Japan,Asia,1900,Paris,France,Summer,Wrestling,Freestyle 57kg,Gold
153,Robert Wright,M,39,MEX,Mexico,North America,1924,Chamonix,France,Winter,Nordic Combined,Nordic Combined Downhill,Silver
154,Ivan Harris,M,30,SVK,Slovakia,Europe,2014,Sochi,Russia,Winter,Bobsled,Bobsled Giant Slalom,Bronze
155,Hans Hall,M,17,SUI,Switzerland,Europe,1904,St. Louis,USA,Summer,Table Tennis,Team,Silver
156,Lisa Clark,F,18,KAZ,Kazakhstan,Asia,2002,Salt Lake City,USA,Winter,Biathlon,Biathlon Slalom,Bronze
157,Lauren Scott,F,28,RUS,Russia,Europe,1928,Amsterdam,Netherlands,Summer,Gymnastics,Rings,Silver
158,Darius Adams,M,36,FRA,France,Europe,1976,Montreal,Canada,Summer,Table Tennis,Team,Bronze
159,Sofia Hall,F,26,SWE,Sweden,Europe,1936,Berlin,Germany,Summer,Football,Football,Silver
160,Maria Wright,F,27,COL,Colombia,South America,2008,Beijing,China,Summer,Weightlifting,94kg,Gold
161,James Nelson,M,33,ESP,Spain,Europe,1912,Stockholm,Sweden,Summer,Gymnastics,Pommel Horse,Bronze
162,Katarina Young,F,27,ITA,Italy,Europe,1988,Seoul,South Korea,Summer,Fencing,Sabre Team,Bronze
163,Sven Wright,M,20,JPN,Japan,Asia,1906,Athens,Greece,Summer,Judo,57kg,Gold
164,Mark Baker,M,40,ESP,Spain,Europe,2024,Paris,France,Summer,Weightlifting,94kg,Gold
165,Sven Garcia,M,35,GRE,Greece,Europe,2018,PyeongChang,South Korea,Winter,Luge,Luge Giant Slalom,Gold
166,Elena Taylor,F,16,UKR,Ukraine,Europe,1932,Los Angeles,USA,Summer,Shooting,50m Rifle Prone,Bronze
167,Marco Scott,M,18,KOR,South Korea,Asia,2000,Sydney,Australia,Summer,Basketball,Basketball,Gold
168,Chris Clark,M,27,UKR,Ukraine,Europe,1964,Innsbruck,Austria,Winter,Luge,Luge Slalom,Bronze
169,Kwame Brown,M,40,KOR,South Korea,Asia,1992,Albertville,France,Winter,Biathlon,Biathlon Individual,Bronze
170,Lauren Hernandez,F,31,COL,Colombia,South America,1912,Stockholm,Sweden,Summer,Shooting,Double Trap,Silver
171,Claire Nelson,F,19,POL,Poland,Europe,1952,Helsinki,Finland,Summer,Rowing,Double Sculls,Silver
172,Peter Robinson,M,16,BRA,Brazil,South America,1984,Los Angeles,USA,Summer,Judo,60kg,Gold
173,Sarah Lopez,F,19,ETH,Ethiopia,Africa,2014,Sochi,Russia,Winter,Ice Hockey,Ice Hockey Mass Start,Bronze
174,Ingrid Williams,F,18,UKR,Ukraine,Europe,1972,Munich,Germany,Summer,Boxing,56kg,Silver
175,Ingrid Allen,F,34,JAM,Jamaica,North America,1900,Paris,France,Summer,Tennis,Singles,Silver
176,Kwame King,M,41,JAM,Jamaica,North America,1924,Paris,France,Summer,Basketball,Basketball,Bronze
177,Ingrid Scott,F,34,CUB,Cuba,North America,1964,Tokyo,Japan,Summer,Gymnastics,All-Around,Gold
178,Ivan Wilson,M,18,JPN,Japan,Asia,1968,Mexico City,Mexico,Summer,Judo,70kg,Bronze
179,John Taylor,M,23,POL,Poland,Europe,1980,Lake Placid,USA,Winter,Figure Skating,Figure Skating Super-G,Silver
180,Diego Lopez,M,21,POR,Portugal,Europe,1932,Lake Placid,USA,Winter,Ice Hockey,Ice Hockey Sprint,Silver
181,Nina Taylor,F,36,ROM,Romania,Europe,2012,London,Great Britain,Summer,Taekwondo,73kg,Silver
182,Fatima Nelson,F,41,AUT,Austria,Europe,1908,London,Great Britain,Summer,Badminton,Doubles,Gold
183,Emma Brown,F,30,ZIM,Zimbabwe,Africa,1960,Squaw Valley,USA,Winter,Curling,Curling Team,Silver
184,Kwame Hill,M,35,POR,Portugal,Europe,2022,Beijing,China,Winter,Speed Skating,Speed Skating Team,Silver
185,Jessica Jackson,F,41,GBR,Great Britain,Europe,1976,Montreal,Canada,Summer,Taekwondo,+73kg,Silver
186,John Rodriguez,M,30,KOR,South Korea,Asia,1992,Albertville,France,Winter,Skeleton,Skeleton Giant Slalom,Bronze
187,Pierre Hernandez,M,38,GBR,Great Britain,Europe,1912,Stockholm,Sweden,Summer,Table Tennis,Singles,Bronze
188,Ingrid Allen,F,25,ESP,Spain,Europe,1984,Los Angeles,USA,Summer,Canoe,Canoe Sprint,Silver
189,Nina Davis,F,18,AUT,Austria,Europe,2002,Salt Lake City,USA,Winter,Snowboard,Snowboard Individual,Bronze
190,Robert Nelson,M,26,BRA,Brazil,South America,2002,Salt Lake City,USA,Winter,Luge,Luge Mass Start,Bronze
191,Lauren Miller,F,20,POR,Portugal,Europe,1928,Amsterdam,Netherlands,Summer,Volleyball,Beach Volleyball,Silver
192,Sven Young,M,36,JPN,Japan,Asia,1988,Seoul,South Korea,Summer,Basketball,3x3 Basketball,Bronze
193,Mei Jackson,F,40,GBR,Great Britain,Europe,1964,Tokyo,Japan,Summer,Athletics,High Jump,Gold
194,Diego Green,M,32,ETH,Ethiopia,Africa,1924,Chamonix,France,Winter,Ice Hockey,Ice Hockey Team,Bronze
195,Yuki Taylor,M,35,GRE,Greece,Europe,1984,Los Angeles,USA,Summer,Swimming,100m Butterfly,Gold
196,Wei Martin,M,29,FIN,Finland,Europe,1932,Los Angeles,USA,Summer,Canoe,Canoe Sprint,Silver
197,Hans Jackson,M,25,SWE,Sweden,Europe,1994,Lillehammer,Norway,Winter,Speed Skating,Speed Skating Slalom,Silver
198,Ingrid Hill,F,40,SUI,Switzerland,Europe,2002,Salt Lake City,USA,Winter,Snowboard,Snowboard Slalom,Bronze
199,James Wright,M,24,TUR,Turkey,Asia,1968,Grenoble,France,Winter,Ice Hockey,Ice Hockey Pursuit,Silver
200,Isabella Anderson,F,18,ITA,Italy,Europe,1988,Seoul,South Korea,Summer,Weightlifting,63kg,Silver
201,Pierre Lewis,M,23,DEN,Denmark,Europe,1972,Sapporo,Japan,Winter,Curling,Curling Sprint,Gold
202,Ingrid Miller,F,23,ARG,Argentina,South America,1968,Grenoble,France,Winter,Skiing,Skiing Downhill,Silver
203,Maria Moore,F,41,FRA,France,Europe,1936,Garmisch,Germany,Winter,Skiing,Skiing Super-G,Gold
204,Lars Wright,M,40,UZB,Uzbekistan,Asia,1952,Oslo,Norway,Winter,Cross-Country Skiing,Cross-Country Skiing Slalom,Silver
205,Maria Adams,F,22,CHN,China,Asia,1994,Lillehammer,Norway,Winter,Skiing,Skiing Team,Bronze
206,Claire Wilson,F,23,ITA,Italy,Europe,1992,Albertville,France,Winter,Curling,Curling Downhill,Gold
207,Kwame Green,M,31,GER,Germany,Europe,1948,London,Great Britain,Summer,Football,Football,Gold
208,Ahmed Johnson,M,25,KAZ,Kazakhstan,Asia,1996,Atlanta,USA,Summer,Table Tennis,Singles,Bronze
209,Wei Jones,M,32,NED,Netherlands,Europe,1960,Squaw Valley,USA,Winter,Figure Skating,Figure Skating Downhill,Bronze
210,Hans Williams,M,28,CZE,Czech Republic,Europe,1984,Sarajevo,Yugoslavia,Winter,Curling,Curling Giant Slalom,Bronze
211,Lisa Lewis,F,41,CHN,China,Asia,1964,Innsbruck,Austria,Winter,Bobsled,Bobsled Mass Start,Gold
212,Wei Green,M,17,UKR,Ukraine,Europe,2008,Beijing,China,Summer,Weightlifting,75kg,Silver
213,David Jones,M,41,IND,India,Asia,2020,Tokyo,Japan,Summer,Boxing,81kg,Bronze
214,Peter Williams,M,17,ETH,Ethiopia,Africa,2014,Sochi,Russia,Winter,Skeleton,Skeleton Individual,Silver
215,Emma Jackson,F,24,IRN,Iran,Asia,1956,Melbourne,Australia,Summer,Table Tennis,Team,Silver
216,Anna Lee,F,24,POR,Portugal,Europe,1960,Squaw Valley,USA,Winter,Cross-Country Skiing,Cross-Country Skiing Individual,Silver
217,Lars Lopez,M,31,UKR,Ukraine,Europe,1968,Mexico City,Mexico,Summer,Tennis,Doubles,Silver
218,Lucia Carter,F,18,AUS,Australia,Oceania,2018,PyeongChang,South Korea,Winter,Curling,Curling Mass Start,Gold
219,Sven Martinez,M,26,FRA,France,Europe,1984,Sarajevo,Yugoslavia,Winter,Speed Skating,Speed Skating Super-G,Silver
220,Sofia Williams,F,27,CAN,Canada,North America,1972,Sapporo,Japan,Winter,Snowboard,Snowboard Downhill,Bronze
221,Sven Hall,M,18,KEN,Kenya,Africa,1960,Squaw Valley,USA,Winter,Snowboard,Snowboard Downhill,Silver
222,Sven Hernandez,M,35,CHN,China,Asia,1980,Lake Placid,USA,Winter,Ski Jumping,Ski Jumping Sprint,Gold
223,Ingrid Baker,F,27,POR,Portugal,Europe,1924,Chamonix,France,Winter,Biathlon,Biathlon Pursuit,Gold
224,Isabella Jones,F,30,ESP,Spain,Europe,1992,Albertville,France,Winter,Ice Hockey,Ice Hockey Slalom,Bronze
225,Fatima Martin,F,36,NZL,New Zealand,Oceania,1924,Chamonix,France,Winter,Curling,Curling Super-G,Gold
226,Diego Thompson,M,24,CZE,Czech Republic,Europe,1900,Paris,France,Summer,Boxing,81kg,Bronze
